"Pickup State","Pickup City","Pickup Pincode",Seller,"Seller Code","Pickup Date","Shipping Date","Delivered Date","Order Id","AWB Number","Courier Partner","Payment Type","Ship Pincode","Ship State","Ship City",Zone,"Invoice Amount","Billing Weight (Kg)","Dimension(L * H * H)(CM)","Product Name","Current Status","Collectable Value","Freight Charges","RTO Charges","COD Charges","Total Charges","AWB Assigned Date","Last Sync","Final Charge","Number of NDR attempts","First NDR raised date","First NDR raised time","First NDR Action By","Reason for First NDR","Action date for First NDR","Action Status for First NDR","Remarks for First NDR","First Updated Address Line 1","First Updated Address Line 1","First Updated Mobile","Second NDR raised date","Second NDR raised time","Second NDR Action By","Reason for Second NDR","Action date for Second NDR","Action Status for Second NDR","Remarks for Second NDR","Second Updated Address Line 1","Second Updated Address Line 1","Second Updated Mobile","Third NDR raised date","Third NDR raised time","Third NDR Action By","Reason for Third NDR","Action date for Third NDR","Action Status for Third NDR","Remarks for Third NDR","Third Updated Address Line 1","Third Updated Address Line 1","Third Updated Mobile"
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 18:52:02",,MUSIC558,`27233510029396`,"Delhivery 2KG",prepaid,457001,"MADHYA PRADESH",RATLAM,D,4700,2500,"98 * 10 * 10","Music Instrument","In Transit",0,254.88,254.88,0,255,"2024-09-11 18:52:02","2024-09-12 20:31:14",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 18:51:28",,MUSIC557,`TWI23830450159`,"SMC 2KG",prepaid,380006,GUJARAT,AHMEDABAD,D,4600,2500,"98 * 10 * 10","Music Instrument","Pickup Scheduled",0,238.95,238.95,0,239,"2024-09-11 18:51:28","2024-09-12 20:31:21",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 18:50:57",,MUSIC555,`27233510029385`,"Delhivery 2KG",prepaid,440012,MAHARASHTRA,NAGPUR,D,4400,2500,"98 * 10 * 10","Music Instrument","In Transit",0,254.88,254.88,0,255,"2024-09-11 18:50:57","2024-09-12 20:31:14",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 18:49:54",,MUSIC556,`TWI23830450158`,"SMC 2KG",prepaid,122018,HARYANA,GURGAON,A,4500,2500,"98 * 10 * 10","Music Instrument","Pickup Scheduled",0,127.44,127.44,0,127,"2024-09-11 18:49:54","2024-09-12 20:31:19",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 18:48:33",,MUSIC554,`27233510029374`,"Delhivery 2KG",prepaid,769012,ORISSA,ROURKELA,D,4300,2500,"98 * 10 * 10","Music Instrument","In Transit",0,254.88,254.88,0,255,"2024-09-11 18:48:33","2024-09-12 20:31:14",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 18:47:57",,MUSIC553,`27233510029363`,"Delhivery 2KG",prepaid,768001,ORISSA,SAMBALPUR,D,4200,2500,"98 * 10 * 10","Music Instrument","In Transit",0,254.88,254.88,0,255,"2024-09-11 18:47:57","2024-09-12 20:31:13",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 18:47:34",,MUSIC552,`27233510029352`,"Delhivery 2KG",prepaid,173212,"HIMACHAL PRADESH",SOLAN,B,4100,2500,"98 * 10 * 10","Music Instrument","In Transit",0,151.28,151.28,0,151,"2024-09-11 18:47:34","2024-09-12 20:31:13",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 18:46:59",,MUSIC551,`TWI23830450157`,"SMC 2KG",prepaid,751007,ORISSA,BHUBANESHWAR,D,4000,2500,"98 * 10 * 10","Music Instrument","Pickup Scheduled",0,238.95,238.95,0,239,"2024-09-11 18:46:59","2024-09-12 20:31:18",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,2024-09-12T11:11:07Z,"2024-09-11 18:37:45",,KJS236,`SF1383797362TWN`,SHADOWFAX,prepaid,110006,DELHI,"NEW DELHI",A,1500,100,"16 * 12 * 10",Document,"Picked Up",0,37.76,37.76,0,38,"2024-09-11 18:37:45","2024-09-12 20:31:16",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 18:14:55",,HES300,`27233510029341`,"Delhivery Lite",prepaid,769012,ORISSA,ROURKELA,D,4600,500,"20 * 10 * 6","Electronic Bettry","In Transit",0,64.9,64.9,0,65,"2024-09-11 18:14:55","2024-09-12 20:31:15",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 17:23:46",,Amici_01,`27233510029330`,"Delhivery 2KG",prepaid,175131,"HIMACHAL PRADESH",BHUNTAR,D,4999,3000,"28 * 21 * 16","Sample product","In Transit",0,254.88,254.88,0,255,"2024-09-11 17:23:46","2024-09-12 20:31:15",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 17:22:45",,9WD2024-B00451,`27233510029326`,"Delhivery 2KG",prepaid,365540,GUJARAT,AMRELI,D,2928,1500,"24 * 14 * 8","18w 100 LED UV Torch 395 nm Wavelength Ultraviolet Pet Urine|","In Transit",0,182.9,182.9,0,183,"2024-09-11 17:22:45","2024-09-12 20:31:14",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 17:21:15",,Amici_02,`27233510029315`,"Delhivery 2KG",prepaid,222181,"UTTAR PRADESH",JAUNPUR,D,4999,1500,"21 * 18 * 13","Sample product","In Transit",0,182.9,182.9,0,183,"2024-09-11 17:21:15","2024-09-12 20:31:13",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 17:18:57",,9WD2024-B00450,`27233510029304`,"Delhivery Lite",prepaid,391165,GUJARAT,VADODARA,D,3441,1000,"22 * 10 * 7","Automatic Over/Under Voltage (Adjustable Setting) Protection","In Transit",0,129.8,129.8,0,130,"2024-09-11 17:18:57","2024-09-12 20:30:43",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 17:18:02",,Amici_01,`27233510029293`,"Delhivery 2KG",prepaid,175131,"HIMACHAL PRADESH",BHUNTAR,D,5500,3000,"28 * 21 * 16","Voltage Protection","Pickup Scheduled",0,254.88,254.88,0,255,"2024-09-11 17:18:02","2024-09-12 20:30:09",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 17:04:05",,Sep/24-25/010,`58142667645`,"Bluedart Air 10kg",prepaid,700073,"WEST BENGAL",KOLKATA,C,36400,10000,"40 * 44 * 30","TC 700 Cordless Phone",NDR,0,2242,2242,0,2242,"2024-09-11 17:04:05","2024-09-12 20:31:35",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 16:51:34",,KRE033,`TWI23830450156`,SMC,prepaid,122004,HARYANA,GURGAON,A,2500,100,"19 * 6 * 1","jewellery Article","In Transit",0,38.94,38.94,0,39,"2024-09-11 16:51:34","2024-09-12 20:31:13",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 16:38:41",,VTRO143,`27233510029282`,"Delhivery Lite",prepaid,500011,TELANGANA,HYDERABAD,C,3500,100,"16 * 12 * 10",Document,"In Transit",0,60.89,60.89,0,61,"2024-09-11 16:38:41","2024-09-12 20:31:12",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 15:35:12",,MUSIC550,`27233510029271`,"Delhivery 2KG",prepaid,175001,"HIMACHAL PRADESH",MANDI,D,6000,2500,"98 * 10 * 10","Music Instrument","In Transit",0,254.88,254.88,0,255,"2024-09-11 15:35:12","2024-09-12 20:31:12",1
"UTTAR PRADESH",NOIDA,201301,"TWINNIC INDIA PRIVATE LIMITED",TW-100003,,"2024-09-11 15:28:35",,MUSIC549,`TWI23830450155`,"SMC 2KG",prepaid,110024,DELHI,"NEW DELHI",A,5600,2500,"98 * 10 * 10","Music Instrument","In Transit",0,127.44,127.44,0,127,"2024-09-11 15:28:35","2024-09-12 20:31:12",1
